name,synonyms,category,specific gravity,energy kcal,protein,alcohol,water,"carbohydrates, available",starch,sugars,dietary fibres,"fat, total",cholesterol,"fatty acids, monounsaturated","fatty acids, saturated","fatty acids, polyunsaturated",beta-carotene,vitamin b1,vitamin b2,vitamin b6,vitamin b12,niacin,folate,pantothenic acid,vitamin c,vitamin d,sodium,potassium,chloride,calcium,magnesium,phosphorus,iron,iodide,zinc
"lievito di birra, secco",,Alimenti speciali/Supplementi;Diversi/Lievito,,354.0,47.9,0.0,6.0,26.5,23.3,3.2,9.5,4.2,0.0,1.3,0.6,2.1,0.0,0.012,0.0038,0.0044,2e-05,0.045,0.0032,0.0072000000000000015,0.0,0.0,0.077,1.41,0.4,0.05,0.23,1.9,0.018000000000000002,4e-06,0.008
salsiccia del birraio,,Prodotti carnei e insaccati/Salsicce scottate,,350.0,16.8,0.1,49.4,0.0,0.0,0.0,0.0,31.3,0.063,14.7,11.8,3.2,0.0,0.00022999999999999998,0.00016,0.00013000000000000002,1.5e-06,0.0027,1.5e-06,0.00029,0.0,0.0,0.58,0.12,0.87,0.0029,0.013,0.08,0.0012,7e-07,0.0021000000000000003
"birchermüesli, preparato (non zuccherato)",,Cibi/Muesli,,87.0,2.7,0.0,81.2,11.1,0.1,8.3,1.9,3.1,0.005,0.9,1.2,0.7,1.9e-05,5.9999999999999995e-05,8e-05,5.9999999999999995e-05,1.3e-07,0.00021,1.3000000000000001e-05,0.00029,0.0034,0.0,0.02,0.16,0.044000000000000004,0.059,0.018000000000000002,0.07400000000000001,0.0004,5.7000000000000005e-06,0.0005
"pere, cotte, sgocciolate (senza aggiunta di zucchero)",,Frutta/Frutta cotta (incl. conserve),,75.0,0.5,0.0,80.1,15.8,0.0,15.8,3.0,0.4,0.0,0.0,0.0,0.1,4e-06,2.9999999999999997e-05,4e-05,2e-05,0.0,0.00022999999999999998,9.1e-06,0.00011999999999999999,0.0046,0.0,0.0026000000000000003,0.14,0.0026000000000000003,0.012,0.0091,0.017,0.0003,1e-06,0.0001
"pere, secche",,Frutta/Frutta secca,,288.0,2.4,0.0,20.0,59.7,0.0,49.3,13.5,1.4,0.0,0.5,0.1,0.6,2e-06,8.999999999999999e-05,8.999999999999999e-05,4e-05,0.0,0.00058,3.9e-05,0.00017999999999999998,0.0145,0.0,0.01,0.42,0.01,0.043,0.034,0.07200000000000001,0.0012,5e-06,0.0011
"pere, zuccherate, conserva",,Frutta/Frutta cotta (incl. conserve),,92.0,0.4,0.0,76.2,21.0,0.0,21.0,2.1,0.3,0.0,0.0,0.0,0.1,,2e-05,2e-05,2e-05,0.0,0.00016,4.5e-06,8e-05,0.0022,0.0,0.0018000000000000004,0.1,0.002,0.0086,0.0063,0.012,0.0002,7e-07,0.0001
"pera, cruda",,Frutta/Frutta fresca,,58.0,0.4,0.0,84.7,12.2,0.0,12.2,2.3,0.3,0.0,0.0,0.0,0.1,4e-06,2.9999999999999997e-05,2.9999999999999997e-05,2e-05,0.0,0.0002,1e-05,0.0001,0.005,0.0,0.002,0.12,0.002,0.01,0.006999999999999999,0.013,0.0002,8e-07,0.0001
"pere, non zuccherate, conserva",,Frutta/Frutta cotta (incl. conserve),,58.0,0.4,0.0,84.7,12.2,0.0,12.2,2.3,0.3,0.0,0.0,0.0,0.1,,2e-05,2.9999999999999997e-05,2e-05,0.0,0.00017999999999999998,5e-06,8e-05,0.0025,0.0,0.002,0.11,0.002,0.0095,0.006999999999999999,0.013,0.0002,8e-07,0.0001
"torta di pera, cotta nel forno (pasta sfoglia)",,"Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",,144.0,2.4,0.0,71.9,16.9,6.9,9.9,1.8,7.0,0.039,1.7,3.8,0.5,2.8000000000000003e-05,4e-05,5.9999999999999995e-05,4e-05,3.1e-07,0.00037999999999999997,5e-06,0.00017999999999999998,0.0027,2e-07,0.09300000000000001,0.11,0.14,0.023,0.0086,0.04,0.0004,3e-06,0.0003
"torta di pera, cotta nel forno (pasta per torta)",,"Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin",,136.0,2.8,0.0,71.2,19.1,9.1,9.9,2.0,4.9,0.033,1.2,2.6,0.4,1.9e-05,4e-05,5.9999999999999995e-05,5e-05,3.1e-07,0.00047000000000000004,5.2e-06,0.00018999999999999998,0.0027,2e-07,0.1,0.11,0.15,0.023,0.0093,0.042,0.0004,3.1e-06,0.0003
