,acidi grassi saturi totali | g,acido arachico | g,acido arachidonico | g,acido aspartico | g,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido eicosenoico | g,acido erucico | g,acido fitico | g,acido glutamico | g,acido glutammico | g,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | g,acido stearico | g,acqua | g,alanina | g,alcol | %,alcol | g,altri acidi grassi polinsaturi | g,amido | g,arginina | g,biotina | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,c4:0÷c10:0 | g,calcio | g,"calorie, ricalcolata con fibra | kcal","calorie, ricalcolata | kcal",carboidrati disponibili | g,carboidrati | %,cistina | g,cloro | g,colesterolo | g,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,folati totali | g,fosforo | g,fruttosio | g,galattosio | g,glicina | g,glucosio | g,indice chimico | g,iodio | g,isoleucina | g,istidina | g,lattosio (mse) | g,leucina | g,lipidi animali | g,lipidi totali | g,lipidi vegetali | g,lipidi | %,lisina | g,magnesio | g,maltosio (mse) | g,manganese | g,metionina | g,monoinsaturi totali | %,niacina | g,parte edibile | %,polinsaturi totali | %,potassio | g,prolina | g,proteine animali | g,proteine totali | g,proteine vegetali | g,proteine | %,rame | g,rapporto polinsaturi/saturi | g,riboflavina | g,saccarosio (mse) | g,saturi totali | %,selenio | g,serina | g,sodio | g,"somma degli acidi butirrico, caproico, caprilico e caprico | g",tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina b12 | g,vitamina b6 | g,vitamina c | g,vitamina d | g,"vitamina e, aggiunta | g",vitamina k | g,zinco | g,zolfo | g,zuccheri solubili | g,ß-carotene equivalente | g
"porri, cotti [bolliti in acqua distillata senza aggiunta di sale]",,,,,,,,,,0.0,,,,,,,,,,,,,86.0,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,33.0,5.9,68,,,0.0,,,2.0,0.85,2.9,,,,,,,,,,,,,,0.1,,3,,,,,,,,100.0,,,,,2.4,,29,,,,,,,,,,,,,,,,,,,,,,,,5.9,
"minestre in scatola, crema di pollo",,,,,,,,,,0.0,,,,,,,,,,,,,87.9,,0,0.0,,3.1,,,,,,,,,,,,,,,,,,,0.0,0.027000000000000003,,58.0,4.5,29,,,,,0.0004,,,,,0.027000000000000003,,,,,,,,,,,,3.8,,59,,,,,,,0.0002,100.0,,0.040999999999999995,,,1.7,,12,,,2.9999999999999997e-05,,,,,0.46,,1e-05,,,,,0.0,,,0.0,,,,,,1.1,
"corned beef, in scatola",,,,,,,,,,0.0,,,,,,,,,,,,,59.6,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.009000000000000001,,219.0,0.0,0,,,0.09300000000000001,,0.0024,0.0,0.0,0.0,,0.125,,,,,,,,,,,,14.0,,58,,0.015,,,,,0.0017,100.0,,0.14,,,23.2,,42,,,0.00015,,,,,1.0,,2.9999999999999997e-05,,,,,,,,0.0,,,,0.0056,,0.0,
"riso integrale, cotto [bollito in acqua distillata senza aggiunta di sale]",,,,,,,,,,0.0,,,,,,,,,,,,,70.3,,0,0.0,,22.8,,,,,,,,,,,,,,,,,,,0.0,0.012,,111.0,25.5,86,,,0.0,,0.0005,,,0.8,,0.073,,,,,,,,,,,,0.6,,5,,,,,,,0.0014,100.0,,0.07,,,2.5,,9,,,2e-05,,,,,0.003,,0.0001,,,,,0.0,,,0.0,,,,,,0.4,
"arachidi, tostate",,,,3.736,,,,,,0.0,5.9670000000000005,,,,,,,,,,,,2.3,1.263,0,0.0,,4.9,3.68,,0.0,0.23,0.0,5.06,0.0,1.28,22.53,13.74,0.45,0.56,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.064,,598.0,8.5,6,0.39,,0.0,1.598,0.0035,9.89,1.03,10.9,,0.28300000000000003,,,1.8559999999999999,,0.068,,1.0859999999999999,0.772,,2.092,,50.0,,75,1.15,0.17500000000000002,,,0.33399999999999996,23.05,0.013999999999999999,65.0,14.19,0.68,1.4780000000000002,,29.0,,19,0.001,2.0,8e-05,,7.13,,1.4280000000000002,0.006,,0.00016,1.349,0.884,0.318,1.404,0.0,,,0.0,,,,0.0035,,3.1,
"gelato confezionato- fior di latte, ricoperto di sorbetto alla fragola",,,,,,,,,,0.0,,,,,,,,,,,,,75.2,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.055,,101.0,21.3,79,,,,,,0.0,0.0,0.0,,0.05,,,,,,,,,,,,1.7,,15,,,,,,,,100.0,,,,,1.4,,6,,,,,,,,,,,,,,,,,,,,,,,,21.3,
"fagioli -borlotti secchi, cotti [bolliti in acqua distillata senza aggiunta di sale e scolati]",,,,0.8220000000000001,,,,,,0.0,1.129,,,,,,,,,,,,70.2,0.29,0,0.0,,14.0,0.389,,,,,,,,,,,,,,,,,,0.0,0.046,,93.0,16.4,66,0.068,,0.0,0.39399999999999996,0.0023,6.28,0.61,6.9,,0.127,,,0.268,,0.08199999999999999,,0.369,0.19,,0.5630000000000001,,0.4,,4,0.467,,,,0.07400000000000001,,0.0003,100.0,,0.28200000000000003,0.271,,6.9,,30,0.0002,,2.9999999999999997e-05,,,6e-06,0.416,0.002,,0.00011,0.253,0.273,0.066,0.3670000000000001,,,,0.0,,,,0.0012,,1.0,
"salmone, in salamoia",,,,,,,,,,0.0,,,,,,,,,,,,,64.3,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.066,,192.0,1.0,2,,,0.035,,0.0008,0.0,0.0,0.0,,0.28600000000000003,,,,,,,,,,,,11.5,,54,,,,,,,0.006999999999999999,98.0,,0.3,,,21.1,,44,,,0.00018999999999999998,,,,,0.54,,5e-05,,,,,6e-05,,,0.0,,,,,,1.0,
aperitivi a base di vino,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,65.5,0.0,66,17.4,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,186.0,17.0,34,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,,0,0.0,,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,,0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,17.0,
"peperoni, cotti [saltati in padella senza aggiunta di grassi e di sale]",,,,,,,,,,0.0,,,,,,,,,,,,,55.4,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,125.0,24.3,72,,,0.0,,,0.93,0.75,1.7,,,,,,,,,,,,,,1.5,,11,,,,,,,,100.0,,,,,5.2,,17,,,,,,,,,,,,,,,,,,,,,,,,24.3,
finocchi crudi,,,,,,,,,,0.0,,,,,,,,,,,,,93.2,,0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,,9.0,1.0,43,,,0.0,,0.0004,1.97,0.25,2.2,,0.039,,,,,,,,,,,,0.0,,1,,0.016,,,,0.0,0.0005,59.0,0.0,0.39399999999999996,,,1.2,,56,0.0001,1.0,4e-05,,0.0,9.000000000000002e-07,,0.004,,2e-05,,,,,2e-06,,,0.012,,,,0.0008699999999999999,,1.0,
"big-burger -peso medio 191g- [pane all'olio o al latte, doppio hamburger di carne bovina, ketchup, verdure]",,,,,,,,,,0.0,,,,,,,,,,,,,54.6,,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,221.0,17.0,29,,,,,,,,1.5,,,,,,,,,,,,,,11.5,,47,,,,,,,,100.0,,,,,13.5,,24,,,,,,,,,,,,,,,,,,,,,,,,,
"uova di gallina, tuorlo, congelato",,,,1.524,,,,,,0.0,1.885,,,,,,,,,,,,,0.878,0,0.0,,0.0,1.103,,0.0,0.08,0.0,5.98,0.66,3.73,7.63,3.83,0.11,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,,,325.0,0.0,0,0.32799999999999996,,1.27,0.7070000000000001,,0.0,0.0,0.0,,,,,0.49,,0.1,,0.8420000000000001,0.39399999999999996,,1.347,,29.1,,81,1.25,,,,0.42200000000000004,8.29,,100.0,4.63,,0.685,,15.8,,19,,0.5,,,9.82,,1.17,,,,0.6629999999999999,0.8260000000000001,0.237,0.993,,,,0.0,,,,,,0.0,
"anguilla, marinata",,,,,,,,,,0.0,,,,,,,,,,,,,59.9,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.018000000000000002,,259.0,0.6,1,,,,,0.0007,0.0,0.0,0.0,,0.20199999999999999,,,,,,,,,,,,21.9,,76,,,,,,,0.0035,88.0,,,,,14.8,,23,,,0.00037,,,,,,,0.00028000000000000003,,,,,0.009401000000000001,,,0.0,,,,,,0.6,
banane,,,,0.126,,,,,,0.0,0.11,,,,,,,,,,,,76.8,0.053,0,0.0,,2.4,0.09,,,,,,,,,,,,,,,,,,0.0,0.006999999999999999,,65.0,15.4,89,0.032,,0.0,0.047,0.0008,1.19,0.62,1.8,,0.027999999999999997,,,0.05,,0.07,,0.035,0.09,,0.055999999999999994,,0.3,,4,0.049,,,,0.024,,0.0007,65.0,,0.35000000000000003,0.049,,1.2,,7,,,5.9999999999999995e-05,,,,0.047,0.001,,5.9999999999999995e-05,0.163,0.040999999999999995,0.013999999999999999,0.048,4.5e-05,,,0.016,,,,,,12.8,
fagioli -borlotti freschi crudi,,,,1.34,,,,,,0.0,1.663,,,,,,,,,,,,60.8,0.411,0,0.0,,19.5,0.606,,,,,,,,,,,,,,,,,,0.0,0.044000000000000004,,133.0,22.7,64,0.118,,0.0,0.601,0.003,3.93,0.91,4.8,,0.18,,,0.37799999999999995,,0.09300000000000001,,0.556,0.303,,0.885,,0.8,,5,0.7140000000000001,,,,0.12,,0.0027,52.0,,0.65,0.441,,10.2,,31,,,0.0001,,,,0.6409999999999999,0.002,,0.00023999999999999998,0.36200000000000004,0.428,0.113,0.616,1.8e-05,,,0.01,,,,,,1.2,
pomodori san marzano,,,,,,,,,,0.0,,,,,,,,,,,,,94.1,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.004,,17.0,3.0,65,,,0.0,,0.0003,,,,,,,,,,,,,,,,,0.2,,10,,0.01,,,,,,100.0,,0.259,,,1.1,,25,,,,,,,,0.003,,,,,,,0.00061,,,0.024,,,,,,3.0,
crostata con crema al cacao,,,,,,,,,,0.0,,,,,,,,,,,,,6.1,,0,0.0,,28.1,,,,,,,,,,,,,,,,,,,0.0,0.024,,492.0,67.0,51,,,,,0.0007,,,,,0.235,,,,,,,,,,,,24.7,,45,,,,,,,,100.0,,0.228,,,4.6,,4,,,,,,,,0.208,,,,,,,,,,0.0,,,,,,36.1,
"fagioli -cannellini in scatola, scolati",,,,0.7170000000000001,,,,,,0.0,0.957,,,,,,,,,,,,76.7,0.258,0,0.0,,11.1,0.387,,,,,,,,,,,,,,,,,,0.0,0.039,,76.0,12.5,62,0.055999999999999994,,0.0,0.3720000000000001,0.002,3.93,0.91,4.8,,0.078,,,0.24,,0.079,,0.32299999999999995,0.168,,0.513,,0.6,,7,0.42200000000000004,,,,0.062,,,100.0,,0.19,0.248,,6.0,,31,0.0002,,,,,,0.354,0.431,,,0.195,0.24600000000000002,0.054000000000000006,0.353,,,,0.0,,,,0.0006799999999999999,,0.3,
"ceci secchi, cotti [bolliti in acqua distillata senza aggiunta di sale e scolati]",,,,0.795,,,,,,0.0,1.161,,,,,,,,,,,,63.6,0.49,0,0.0,,16.0,0.677,,,,,,,,,,,,,,,,,,0.0,0.057999999999999996,,120.0,18.9,59,0.08,,0.0,0.425,0.0022,5.29,0.47,5.8,,0.14800000000000002,,,0.273,,0.08700000000000001,,0.306,0.184,,0.542,,2.4,,18,0.498,0.037000000000000005,,,0.073,,0.0009000000000000002,100.0,,0.302,0.273,,7.0,,23,0.0003,,4e-05,,,1e-06,0.366,0.005,,0.0002,0.19899999999999998,0.259,0.076,0.32,4e-06,,,0.0,,,,0.0017,,1.3,
"mais, amido",,,,,,,,,,0.0,,,,,,,,,,,,,12.0,,0,0.0,,76.7,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,327.0,86.8,100,,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,0,,,,,,0.0,,100.0,0.0,0.0,,,0.3,,0,,1.0,,,0.0,,,0.0,,,,,,,,,,0.0,,0.0,,,,2.5,
cacao amaro in polvere,,,,,,,,,,0.0,,,,,,,,,,,,,2.5,,0,0.0,,10.5,,,,,,,,,,,,,,,,,,,0.0,0.051,,355.0,11.5,12,,,0.0,,0.0143,,,,,0.685,,,,,,,,,,,,25.6,,65,,,,,,,0.0017,100.0,,,,,20.4,,23,,,0.0003,,,,,,,8e-05,,,,,7.000000000000003e-06,,,0.0,,,,,,0.0,
soia secca,,,,,,,,,,0.0,,,,,,,,,,,,,9.5,,0,0.0,,11.1,,,,,,,,,,,,,,,,,,,0.0,0.257,,407.0,23.2,22,,,0.0,,0.006900000000000001,,,11.9,,0.591,,,,,,,,,,,,19.1,,42,,,,,,,0.0025,100.0,,1.74,,,36.9,,36,,,0.0005200000000000001,,,,,0.004,,0.00099,,,,,,,,0.0,,,,,,11.0,
pane formato rosetta,,,,0.42100000000000004,,,,,,0.0,2.859,,,,,,,,,,,,30.7,0.28700000000000003,0,0.0,,45.5,0.327,,,,,,,,,,,,,,,,,,0.0,0.02,,269.0,57.6,81,0.22399999999999998,,0.0,0.44799999999999995,0.001,1.63,1.46,3.1,,,,,0.327,,0.037000000000000005,,0.374,0.192,,0.6910000000000001,,1.9,,6,0.19399999999999998,0.015,,,0.157,,0.00101,100.0,,0.103,1.022,,9.0,,13,0.00018999999999999998,,2e-05,,,2e-06,0.489,0.317,,4e-05,0.244,0.259,0.08199999999999999,0.469,0.0,,,0.0,,,,0.00037,,7.5,
"zucchine, chiare crude",,,,,,,,,,0.0,,,,,,,,,,,,,,,0,0.0,,0.1,,,,,,,,,,,,,,,,,,,0.0,,,11.0,1.4,46,,,0.0,,,,,1.2,,,,,,,,,,,,,,0.1,,8,,0.017,,,,,,86.0,,,,,1.3,,46,0.00014,,,,,1e-06,,,,,,,,,,,,,,,,0.00114,,1.3,
"aringa, affumicata",,,,,,,,,,0.0,,,,,,,,,,,,,62.5,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.066,,194.0,0.0,0,,,0.08199999999999999,,0.0014,0.0,0.0,0.0,,0.254,,,,,,,,,,,,12.7,,59,,,,,,,0.0033,70.0,,,,,19.9,,41,,,0.00028000000000000003,,,,,,,,,,,,9e-06,,,0.0,,,,,,0.0,
"dentice, surgelato",,,,,,,,,,0.0,,,,,,,,,,,,,80.1,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.03,,103.0,0.7,2,,,,,0.0008,0.0,0.0,0.0,,0.188,,,,,,,,,,,,3.5,,31,,,,,,,0.0033,65.0,,,,,17.2,,67,,,0.00015,,,,,,,8e-05,,,,,,,,0.0,,,,,,0.7,
"soia, isolato proteico",,,,,,,,,,0.0,,,,,,,,,,,,,5.0,,0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,369.0,4.5,5,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.7,,2,,,,,,,,100.0,,,,,86.5,,93,,,,,,,,,,,,,,,,,,0.0,,,,,,,
"gamberi, freschi",,,,,,,,,,0.0,,,,,,,,,,,,,80.1,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.11,,71.0,2.9,15,,,0.15,,0.0018000000000000004,0.0,0.0,0.0,,0.34900000000000003,,,,,,,,,,,,0.6,,8,,0.039,,,,,0.0032,45.0,,0.266,,,13.6,,77,0.0007,,0.0001,,,3e-05,,0.146,,8e-05,,,,,2e-06,,,0.002,,,,0.0019,,2.9,
"fagiolini surgelati, cotti [bolliti in acqua distillata senza aggiunta di sale e scolati]",,,,,,,,,,0.0,,,,,,,,,,,,,90.0,,0,0.0,,2.3,,,,,,,,,,,,,,,,,,,0.0,0.055999999999999994,,25.0,4.6,69,,,0.0,,0.0006,2.07,0.86,2.9,,0.033,,,,,,,,,,,,0.1,,4,,,,,,,0.0004,100.0,,0.16,,,1.7,,27,,,8.999999999999999e-05,,,,,0.008,,5e-05,,,,,3e-05,,,0.006999999999999999,,,,,,2.1,
"spinaci, surgelati",,,,,,,,,,0.0,,,,,,,,,,,,,92.8,,0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,,23.0,3.0,50,,,0.0,,0.001,,,1.8,,0.044000000000000004,,,,,,,,,,,,0.0,,0,,,,,,0.0,0.0005,100.0,0.0,0.354,,,2.8,,50,,1.0,0.00016,,0.0,,,0.057,,8.999999999999999e-05,,,,,0.0005,,,0.024,,,,,,,
"merendine, tipo pan di spagna",,,,,,,,,,0.0,,,,,,,,,,,,,17.9,,0,0.0,,25.3,,,0.0,0.0,0.0,2.98,0.0,0.0,3.17,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057999999999999996,,383.0,62.7,61,0.098,,0.057999999999999996,0.37,0.0014,,,,,0.11699999999999999,,,,,0.065,,0.322,,,0.579,,13.1,,31,0.278,,,,0.18600000000000005,3.31,,100.0,1.16,0.103,,,7.4,,8,0.00015,0.2,,,4.8,,0.3720000000000001,,,,0.257,0.238,0.078,0.38299999999999995,,,,0.0,,,,0.0007099999999999999,,34.9,
"uva, succo, in cartone",,,,,,,,,,0.0,,,,,,,,,,,,,81.4,,0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,66.0,17.3,98,,,0.0,,0.0003,0.0,0.0,0.0,,0.01,,,,,,,,,,,,0.0,,0,,,,,,0.0,,100.0,0.0,0.12,,,0.3,,2,,1.0,5.9999999999999995e-05,,0.0,,,0.002,,2e-05,,,,,1.5e-05,,,0.34,,0.0,,,,17.3,
"gelato confezionato- panna, in vaschetta",,,,,,,,,,0.0,,,,,,,,,,,,,60.6,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,189.0,27.2,54,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,8.2,,39,,,,,,,,100.0,,,,,3.2,,7,,,,,,,,,,,,,,,,,,,,,,,,27.2,
"gelato confezionato- vaniglia, in vaschetta",,,,,,,,,,0.0,,,,,,,,,,,,,63.5,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,167.0,25.7,58,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,6.7,,36,,,,,,,,100.0,,,,,2.7,,6,,,,,,,,,,,,,,,,,,,,,,,,25.7,
"uova di gallina, intero, congelato",,,,1.209,,,,,,0.0,1.508,,,,,,,,,,,,77.1,0.7190000000000001,0,0.0,,0.0,0.767,,0.0,0.03,0.0,1.9,0.23,1.21,2.35,1.06,0.04,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,,,128.0,0.0,0,0.32299999999999995,,0.37,0.662,,0.0,0.0,0.0,,,,,0.416,,0.1,,0.657,0.298,,1.041,,8.7,,61,0.88,,,,0.4370000000000001,2.58,,100.0,1.26,,0.496,,12.4,,39,,0.4,,,3.17,,0.8420000000000001,,,,0.503,0.623,0.19699999999999998,0.8230000000000001,,,,0.0,,,,,,0.0,
piselli secchi,,,,2.269,,,,,,0.0,3.341,,,,,,,,,,,,13.0,0.845,0,0.0,,41.2,1.9709999999999999,,,,,,,,,,,,,,,,,,0.0,0.048,,286.0,48.2,64,0.23199999999999998,,0.0,0.95,0.0045000000000000005,,,15.7,,0.32,,,0.838,,0.078,,0.884,0.473,,1.4069999999999998,,2.0,,6,1.557,,,,0.18899999999999997,,0.0022,100.0,,0.99,0.8079999999999999,,21.7,,30,,,0.00015,,,,0.898,0.038,,0.00058,0.5670000000000001,0.841,0.19399999999999998,0.973,1e-05,,,0.004,,,,,,2.9,
biscotti alla soia,,,,,,,,,,0.0,,,,,,,,,,,,,4.6,,0,0.0,,58.7,,,,,,,,,,,,,,,,,,,0.0,,,366.0,70.8,72,,,,,,,,,,,,,,,,,,,,,,6.1,,15,,,,,,,,100.0,,,,,11.5,,13,,,,,,,,,,,,,,,,,,0.0,,,,,,6.2,
"pesche, sciroppate",,,,,,,,,,0.0,,,,,,,,,,,,,81.1,,0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,,55.0,14.0,96,,,0.0,,0.0002,,,0.9,,0.011000000000000001,,,,,,,,,,,,0.0,,0,,,,,,0.0,0.0006,100.0,0.0,0.11,,,0.5,,4,,1.0,1e-05,,0.0,,,0.004,,1e-05,,,,,1.3000000000000001e-05,,,0.005,,,,,,14.0,
"spinaci, cotti [bolliti in acqua distillata senza aggiunta di sale]",,,,,,,,,,0.0,,,,,,,,,,,,,75.6,,0,0.0,,5.5,,,,,,,,,,,,,,,,,,,0.0,,,63.0,7.0,41,,,0.0,,,1.64,0.42,2.1,,,,,,,,,,,,,,1.3,,19,,,,,,,,100.0,,,,,6.3,,40,,,,,,,,,,,,,,,,,,,,,,,,0.9,
"pasta di semola, cotta [bollita in acqua distillata senza aggiunta di sale e scolata]",,,,0.21600000000000005,,,,,,0.0,1.472,,,,,,,,,,,,61.7,0.151,0,0.0,,26.4,0.171,,,,,,,,,,,,,,,,,,0.0,0.004,,137.0,30.3,83,0.107,,0.0,0.24,0.0008,1.03,0.51,1.5,,0.032,,,0.151,,0.035,,0.19399999999999998,0.1,,0.366,,0.5,,3,0.095,0.024,,,0.078,,0.0006,100.0,,0.033,0.488,,4.7,,14,0.0001,,4e-05,,,,0.238,0.001,,2e-05,0.128,0.135,0.048,0.245,0.0,,,0.0,,0.0,,0.0005,,1.3,
"fave fresche, cotte [saltate in padella senza aggiunta di grassi e di sale]",,,,,,,,,,0.0,,,,,,,,,,,,,81.0,,0,0.0,,2.5,,,,,,,,,,,,,,,,,,,0.0,0.026,,49.0,5.3,41,,,0.0,,0.002,4.86,1.08,5.9,,0.11,,,,,,,,,,,,0.5,,9,,,,,,,,100.0,,0.236,,,6.1,,50,,,,,,,,0.02,,,,,,,,,,0.0,,,,,,2.6,
"cicoria di campo, cotta [bollita in acqua distillata senza aggiunta di sale]",,,,,,,,,,0.0,,,,,,,,,,,,,93.4,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,10.0,0.7,26,,,0.0,,,2.43,1.12,3.6,,,,,,,,,,,,,,0.2,,18,,,,,,,,100.0,,,,,1.4,,56,,,,,,,,,,,,,,,0.0003,,,0.008,,,,,,0.7,
funghi coltivati pleurotes crudi,,,,0.201,,,,,,0.0,0.363,,,,,,,,,,,,88.4,0.19399999999999998,0,0.0,,0.0,0.155,,,,,,,,,,,,,,,,,,0.0,,,28.0,4.5,59,0.02,,0.0,0.08800000000000001,0.0009000000000000002,,,0.7,,0.09699999999999999,,,0.107,,0.095,,0.08900000000000001,0.05,,0.172,,0.3,,10,0.132,,,,0.032,,,98.0,,,0.08700000000000001,,2.2,,31,,,,,,,0.099,,,,0.08600000000000001,0.11599999999999999,0.051,0.115,0.0,,,,,,,,,4.5,
"cavolo cappuccio verde, cotto [bollito in acqua distillata senza aggiunta di sale]",,,,,,,,,,0.0,,,,,,,,,,,,,91.2,,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.06,,21.0,2.8,51,,,0.0,,0.0012,2.0,0.71,2.7,,0.03,,,,,,,,,,,,0.1,,4,,,,,,,,100.0,,0.268,,,2.3,,45,,,,,,,,0.024,,,,,,,,,,,,,,,,2.8,
farina di frumento tipo 0,,,,0.44799999999999995,,,,,,0.0,4.127,,,,,,,,,,,,14.2,0.34900000000000003,0,0.0,,67.7,0.435,,0.0,0.0,0.0,0.11,0.0,0.0,0.09,0.36,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,,341.0,76.2,84,0.27699999999999997,,0.0,0.603,0.0009000000000000002,1.86,1.07,2.9,,0.16,,,0.416,,0.039,,0.451,0.25,,0.838,,1.0,,3,0.262,,,,0.185,0.09,0.0012,100.0,0.38,0.14,1.394,,11.5,,13,,3.5,4e-05,,0.11,,0.5730000000000001,0.002,,0.00025,0.382,0.336,0.122,0.53,0.0,,,0.0,,,,,,1.8,
"tonno, sott'olio, sgocciolato",,,,2.3480000000000003,,,,,,0.0,3.285,,,,,,,,,,,,62.3,1.44,0,0.0,,0.0,1.4769999999999999,,,,,,,,,,,,,,,,,,0.0,0.006999999999999999,,192.0,0.0,0,0.264,,0.065,1.007,0.0017,0.0,0.0,0.0,,0.205,,,1.128,,0.1,,1.198,0.882,,2.029,,10.1,,47,2.441,,,,0.8809999999999999,,0.0104,100.0,,0.301,0.919,,25.2,,53,,,0.00011,,,,1.095,0.316,,4e-05,0.934,1.072,0.28,1.392,1.4000000000000001e-05,,,0.0,,,,,,0.0,
cornetti,,,,0.305,,,,,,0.0,2.5380000000000003,,,,,,,,,,,,19.5,0.221,0,0.0,,43.1,0.22399999999999998,,,,,,,,,,,,,,,,,,0.0,0.009000000000000001,,411.0,58.0,53,0.18,,,0.353,0.0013000000000000002,,,,,0.07,,,0.245,,0.024,,0.242,0.138,,0.503,,18.3,,40,0.1,,,,0.11,,,100.0,,0.052000000000000005,0.78,,7.2,,7,,,,,,,0.35700000000000004,,,,0.206,0.19899999999999998,0.07400000000000001,0.29100000000000004,,,,0.0,,,,,,10.6,
miglio decorticato,,,,,,,,,,0.0,,,,,,,,,,,,,12.6,,0,0.0,,62.9,,,,,,,,,,,,,,,,,,,0.0,0.017,,360.0,74.1,77,,,0.0,,0.0035,,,3.1,,0.3,,,,,,,,,,,,4.2,,11,,0.16,,,,,,100.0,,0.17400000000000002,,,11.0,,12,0.00055,,,,,,,0.001,,,,,,,,,,,,,,0.0023,,4.9,
"fagioli -borlotti freschi, cotti [bolliti in acqua distillata senza aggiunta di sale e scolati]",,,,0.737,,,,,,0.0,0.9279999999999999,,,,,,,,,,,,78.9,0.243,0,0.0,,9.7,0.33299999999999996,,,,,,,,,,,,,,,,,,0.0,,,69.0,11.2,61,0.064,,0.0,0.341,,,,4.2,,,,,0.21899999999999997,,0.09300000000000001,,0.307,0.157,,0.494,,0.5,,6,0.405,,,,0.069,,0.0006,100.0,,,0.252,,5.7,,33,,,2.9999999999999997e-05,,,,0.35100000000000003,,,0.0001,0.193,0.238,0.061,0.34800000000000003,,,,0.0,,,,,,0.5,
savoiardi,,,,,,,,,,0.0,,,,,,,,,,,,,8.5,,0,0.0,,27.5,,,,,,,,,,,,,,,,,,,0.0,0.04,,391.0,69.6,67,,,,,0.002,,,,,0.18,,,,,,,,,,,,9.2,,21,,,,,,,,100.0,,,,,11.9,,12,,,0.00011999999999999999,,,,,,,0.0001,,,,,0.0,,,0.0,,,,,,39.3,
