,calcio | g,ferro | g,fosforo | g,magnesio | g,potassio | g,rame | g,selenio | g,zinco | g,grassi saturi totali | g,c4:0\÷c10:0 (laurico) | g,c12:0 (laurico) | g,c14:0 (miristico) | g,c16:0 (palmitico) | g,c18:0 (stearico) | g,c20:0 (arachidico) | g,c22:0 (beenico) | g,grassi monoinsaturi totali | g,c14:1 (miristoleico) | g,c16:1 (palmitoleico) | g,c18:1 (oleico) | g,c20:1 (eicosaenoico) | g,c22:1 (erucico) | g,grassi polinsaturi totali | g,c18:2 w6 (linoleico) | g,c18:3 w3 (linolenico) | g,c20:4 w6 (arachidonico) | g,c20:5 w3 (eicosapentaenoico - epa) | g,c22:6 w3 (docosaesaenoico - dha) | g,rapporto polinsaturi/saturi | %,tiamina (b1) | g,riboflavina (b2) | g,niacina (b3) | g,vitamina a (retinolo eq.) | g,vitamina c | g,vitamina e | g,parte edibile | %,acqua | g,proteine | g,carboidrati | g,zuccheri solubili | g,amido | g,grassi | g,saturi | g,monoinsaturi | g,polinsaturi | g,fibra totale | g,fibra solubile | g,fibra insolubile | g,colesterolo | g,sodio | g,alcool | g,acido fitico | g,lisina | g,istidina | g,arginina | g,acido aspartico | g,treonina | g,serina | g,acido glutamico | g,prolina | g,glicina | g,alanina | g,cistina | g,valina | g,metionina | g,isoleucina | g,leucina | g,tirosina | g,fenilalanina | g,triptofano | g,indice chimico |,aminoacido limitante |,calorie | kcal
"latte di vacca pastorizzato, intero",0.119,0.0001,0.093,0.012,0.15,2e-05,0.0016,0.00038,2.11,0.32,0.11,0.37,0.92,0.39,0.0,0.0,1.1,0.07,0.1,0.93,0.0,0.0,0.12,0.07,0.05,0.0,0.0,0.0,0.1,4e-05,0.00017999999999999998,0.0001,3.7e-05,0.001,7.000000000000001e-05,100.0,87.0,3.3,4.9,4.9,0.0,3.6,2.11,1.1,0.12,0.0,0.0,0.0,0.011,0.05,0.0,0.0,272.0,93.0,105.0,269.0,164.0,203.0,771.0,371.0,70.0,119.0,37.0,233.0,81.0,192.0,355.0,142.0,176.0,50.0,100,Trip.,64.00
savoiardi,0.04,0.002,0.18,,,,,,3.0,,,,,,,,3.0,,,,,,3.0,,,,,,,0.0001,0.00012,,0.0,0.0,,100.0,8.5,11.9,69.6,39.3,27.5,9.2,3.0,3.0,3.0,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,391.00
salame brianza,0.012,0.0013,0.229,0.026,0.473,0.00025,,0.0035800000000000003,9.71,0.0,0.0,0.47,5.93,3.01,0.0,0.0,13.7,0.04,0.96,12.45,0.06,0.07,5.12,3.94,0.28,0.19,0.35,0.12,0.5,0.00019,0.00016,,,0.0,,100.0,36.3,26.5,1.0,1.0,0.0,30.5,9.71,13.7,5.12,0.0,0.0,0.0,0.084,1.827,0.0,0.0,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,336.0,999.99,774.0,999.99,999.99,961.0,999.99,264.0,90,Trip.,384.00
semi di sesamo,,,,,,,,,7.0,,,,,,,,18.7,,,,,,21.8,,,,,,,,,,,,,100.0,4.69,17.0,12.0,,0.0,49.0,7.0,18.7,21.8,11.8,,,0.0,0.011,0.0,,,,,,,,,,,,,,,,,,,,,,573.00
salame,0.014,0.0019,,0.031,0.486,0.00020999999999999998,0.0031,0.0043,9.51,0.0,0.0,0.39,6.1,2.91,0.03,0.0,11.88,0.0,0.62,11.26,0.0,0.0,4.33,3.49,0.37,0.47,0.0,0.0,0.5,0.00034,0.00026000000000000003,,,0.0,,100.0,35.2,30.5,0.5,0.5,0.0,27.9,9.51,11.88,4.33,0.0,0.0,0.0,0.095,1.697,0.0,0.0,,,,,,,,,,,,,,,,,,,,,375.00
triglia (mullus surmuletus (barbatus)),0.021,0.0011,0.218,0.03,,0.00023999999999999998,0.03,0.0024,2.1,,,,,,,,2.0,,,,,,1.3,,,,,,,7.000000000000001e-05,7.000000000000001e-05,0.004200000000000001,9e-06,,,60.0,75.3,15.8,1.1,1.1,0.0,6.2,2.1,2.0,1.3,0.0,0.0,0.0,0.078,0.065,0.0,0.0,599.994,342.0,599.994,599.994,508.79999999999995,473.4,599.994,410.4,557.4,599.994,124.19999999999999,598.1999999999999,343.8,535.1999999999999,599.994,391.8,453.0,130.2,101,triptofano,123.00
"maiale, pesante, lombo (sus scrofa domestica)",0.007,0.0014,0.158,,0.3,,,,3.5,0.0,0.02,0.13,2.06,1.18,0.0,0.0,3.87,0.0,0.16,3.57,0.05,0.0,1.54,1.06,0.08,0.12,0.01,0.0,0.4,0.00028000000000000003,0.0003,0.0038,6e-06,0.0,,78.0,68.0,20.8,0.0,0.0,0.0,9.9,3.5,3.87,1.54,0.0,0.0,0.0,0.088,0.059000000000000004,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,172.00
passiflora (passiflora edulis),0.01,0.0006,,,0.2,,,,0.0,,,,,,,,0.0,,,,,,1.0,,,,,,,3e-05,0.00014000000000000001,0.0025,0.00018999999999999998,0.018000000000000002,,42.0,74.4,3.0,5.7,5.7,0.0,0.3,0.0,0.0,1.0,13.9,,,0.0,0.019,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,36.00
"gelato confezionato- fior di latte, in vaschetta",0.085,0.0004,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,60.6,4.2,20.7,20.7,,13.7,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,218.00
"tacchino, fuso, con pelle crudo (meleagris gallopavo)",0.009,0.0009,,0.019,0.274,0.00011,,0.00277,1.91,0.0,0.0,0.09,1.04,0.76,0.0,0.0,1.81,0.07,0.23,1.48,0.02,0.0,1.7,1.12,0.08,0.26,0.02,0.08,0.9,,,,,0.0,,74.0,74.7,17.9,0.0,0.0,0.0,6.0,1.91,1.81,1.7,0.0,0.0,0.0,0.073,0.088,0.0,0.0,739.9926,378.88,739.9926,739.9926,638.62,600.14,739.9926,556.48,690.42,739.9926,154.66,679.3199999999999,393.68,662.3,739.9926,432.15999999999997,519.48,125.8,86,Trip.,126.00
yogurt caprino,0.124,0.0001,0.105,,0.251,,,,,,,,,,,,,,,,,,,,,,,,,3e-05,0.00013000000000000002,0.00026000000000000003,0.000196,0.0,,100.0,87.5,3.6,5.1,5.1,0.0,2.9,,,,0.0,0.0,0.0,,0.06,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,60.00
"patate, cotte con buccia [bollite in acqua distillata senza aggiunta di sale] (solanum tuberosum)",0.01,0.0006,0.054,0.028,0.57,0.00019,,0.00124,,,,,,,,,,,,,,,,,,,,,,8e-05,3e-05,0.0024,3e-06,0.008,,100.0,78.5,2.1,17.9,0.4,15.9,1.0,,,,1.6,0.71,0.85,0.0,0.007,0.0,8e-05,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,85.00
ricotta di pecora,0.166,0.0003,0.153,0.015,0.098,5e-05,,0.0002,7.36,1.26,0.66,1.46,2.85,0.78,0.0,0.0,2.5,0.04,0.16,2.19,0.0,0.0,0.68,0.32,0.35,0.0,0.0,0.0,0.1,3e-05,,,0.00026,0.0,,100.0,74.1,9.5,4.2,4.2,0.0,11.5,7.36,2.5,0.68,0.0,0.0,0.0,0.042,0.085,0.0,0.0,814.0,192.0,293.0,904.0,450.0,428.0,999.99,602.0,182.0,514.0,198.0,575.0,202.0,484.0,999.99,373.0,373.0,96.0,92,Trip.,157.00
capra [tessuto muscolare privato del grasso visibile] (capra hireus),,,,,,,,,1.4,,,,,,,,3.0,,,,,,1.8,,,,,,,,,,,,,100.0,,,,,0.0,2.3,1.4,3.0,1.8,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"cavolo cappuccio rosso (brassica oleracea, cv. capitata)",0.06,0.001,0.024,0.015,,8.999999999999999e-05,0.0009,0.00020999999999999998,0.03,0.0,1.0,1.0,0.02,1.0,,,0.01,,0.0,0.01,0.0,0.0,0.12,0.05,0.06,0.01,0.0,0.0,3.6,6e-05,5e-05,0.0006,4e-06,0.052000000000000005,0.0001,94.0,92.3,1.9,2.7,2.7,0.0,0.2,0.03,0.01,0.12,1.0,,,0.0,0.011,0.0,,61.099999999999994,26.32,74.25999999999999,128.78,45.12,76.14,290.46,255.67999999999998,29.139999999999997,45.12,11.28,55.459999999999994,13.16,65.8,67.67999999999999,22.56,41.36,13.16,74,solforati,20.00
"uova di gallina, intero, cotto alla coque o sodo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,77.1,12.4,,,0.0,8.7,,,,0.0,0.0,0.0,0.371,,0.0,0.0,880.0,298.0,767.0,999.99,623.0,842.0,999.99,496.0,416.0,719.0,323.0,823.0,437.0,657.0,999.99,503.0,662.0,197.0,100,Lis.,128.00
"coratella di vitello  [cuore, polmoni, fegato, milza, reni] (bos taurus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,78.0,17.1,0.8,0.8,0.0,3.2,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,100.00
lumaca (helix pomatia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9999999999999995e-05,0.0,,24.0,82.8,12.9,0.0,0.0,0.0,1.7,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,67.00
"ananas, sciroppato (ananas sativa)",0.006,0.0002,0.005,0.014,0.079,8e-05,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.000000000000001e-05,1e-05,0.0002,2e-06,0.013000000000000001,0.0001,100.0,82.2,0.5,16.6,16.6,0.0,0.0,0.0,0.0,0.0,0.7,,,0.0,0.002,0.0,0.0,19.0,9.0,14.0,95.0,10.0,22.0,48.0,11.0,16.0,21.0,1.0,13.0,11.0,10.0,16.0,10.0,10.0,5.0,57,leucina,64.00
"cavoli di bruxelles crudi (brassica oleracea, cv. gemmifera)",0.051,0.0011,0.05,0.023,0.45,7.000000000000001e-05,0.0016,0.00041999999999999996,0.06,2.0,0.0,0.0,0.05,3.0,,,0.02,,2.0,0.01,0.0,0.0,0.15,0.04,0.09,0.01,0.0,0.0,2.4,8e-05,0.00014000000000000001,0.0007,0.00021999999999999998,0.081,0.00088,76.0,85.7,4.2,4.2,3.3,0.8,0.5,0.06,0.02,0.15,5.0,,,0.0,0.006,0.0,,117.04,57.76,154.28,,91.2,,,,,0.0,16.72,117.8,24.32,100.32000000000001,115.52,,74.48,28.12,45,aromatici,37.00
asparagi di bosco (asparagus officinalis),0.025,0.0011,0.09,,0.198,,,,,,,,,,,,,,,,,,,,,,,,,0.00013000000000000002,0.00043,0.0015,0.000155,0.023,,57.0,89.3,4.6,4.0,4.0,0.0,0.2,,,,,,,0.0,0.005,0.0,,119.69999999999999,42.18,103.74,287.28,74.66999999999999,84.92999999999999,551.76,151.04999999999998,90.05999999999999,151.04999999999998,23.939999999999998,98.60999999999999,34.769999999999996,68.39999999999999,119.69999999999999,54.72,68.39999999999999,31.349999999999998,69,Leu.,35.00
"merendine, con marmellata",0.011,0.0008,0.055,,0.098,,,,3.7,,,,,,,,2.6,,,,,,1.0,,,,,,,,,,,0.0,,100.0,19.7,5.5,69.6,46.5,21.0,8.3,3.7,2.6,1.0,,,,,,0.0,,210.0,116.0,243.0,402.0,208.0,340.0,999.99,433.0,192.0,239.0,174.0,319.0,120.0,261.0,450.0,193.0,295.0,71.0,66,Lis.,358.00
prosciutto cotto,0.006,0.0007,0.25,0.016,0.227,7.000000000000001e-05,0.0056,0.0026,5.1,0.0,0.0,0.15,2.43,1.54,0.04,0.0,6.05,0.0,0.33,5.16,0.35,0.0,2.45,1.89,0.16,0.35,0.04,0.0,0.5,0.0004,0.00015,0.0032,,0.0,,100.0,62.2,19.8,0.9,0.9,0.0,14.7,5.1,6.05,2.45,0.0,0.0,0.0,0.062,0.648,0.0,0.0,999.99,720.0,999.99,999.99,829.0,821.0,999.99,821.0,942.0,999.99,230.0,999.99,520.0,976.0,999.99,698.0,805.0,208.0,95,Trip.,215.00
butirro calabro,0.135,,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,32.7,24.7,0.3,0.3,0.0,37.8,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,440.00
mele fresche - golden (pyrus malus (malus pumila)),0.005,0.0002,,,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,73.0,86.9,0.4,10.7,10.7,,0.1,,,,1.7,,,0.0,,0.0,6e-05,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,43.00
guava (psidium guajava),0.01,0.0002,0.025,0.01,0.15,0.0001,0.0006,0.00023,0.17,0.0,0.0,0.01,0.14,0.01,,,0.05,,3.0,0.05,0.0,0.0,0.25,0.18,0.07,0.0,0.0,0.0,1.4,3e-05,4e-05,0.001,8.2e-05,0.243,0.0011200000000000001,98.0,87.2,0.7,3.5,3.5,0.0,0.5,0.17,0.05,0.25,5.4,,,0.0,0.004,0.0,,22.54,6.859999999999999,20.58,50.96,30.38,23.52,104.86,24.5,40.18,40.18,0.0,27.439999999999998,4.9,29.4,53.9,9.8,1.96,6.859999999999999,23,aromatici,20.00
melù o pesce molo  fresco (gadus poutassou),0.031,0.001,0.218,0.021,0.356,0.0013,,0.0025,0.05,0.0,0.0,0.01,0.03,0.01,0.0,0.0,0.06,0.0,0.0,0.03,0.01,0.01,0.1,0.0,0.0,0.0,0.03,0.07,2.0,,,0.0017,,0.002,,65.0,80.5,17.4,,,0.0,0.3,0.05,0.06,0.1,0.0,0.0,0.0,0.052000000000000005,0.07200000000000001,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,72.00
"storione, uova [caviale] (acipenser spp.)",0.276,0.011800000000000001,0.355,0.3,0.18,0.00011,0.0655,0.00095,4.06,0.0,0.0,0.21,3.55,0.29,,,4.63,,1.04,3.16,0.3,0.11,7.4,0.08,0.01,0.5,2.74,3.8,1.8,0.00019,0.00062,0.00012,0.00056,0.0,0.007,100.0,46.0,26.9,3.3,3.3,0.0,15.0,4.06,4.63,7.4,0.0,0.0,0.0,,2.2,0.0,0.0,999.99,649.0,999.99,999.99,999.99,999.99,999.99,999.99,740.0,999.99,449.0,999.99,646.0,999.99,999.99,968.0,999.99,323.0,119,triptofano,255.00
cavallo (equus cabalus),0.004,0.0039,0.231,0.029,0.331,0.0002,,0.00372,2.16,0.0,0.01,0.24,1.65,0.23,0.0,0.0,2.89,0.03,0.64,2.12,0.0,0.0,1.16,0.75,0.31,0.07,0.0,0.0,0.5,4e-05,0.00017999999999999998,0.00554,,0.0,,100.0,74.9,19.8,0.6,0.0,0.5,6.8,2.16,2.89,1.16,0.0,0.0,0.0,0.061,0.074,0.0,0.0,999.99,900.0,999.99,999.99,840.0,690.0,999.99,890.0,999.99,900.0,200.0,960.0,480.0,910.0,999.99,670.0,820.0,150.0,69,Trip.,143.00
"bieta, cotta [in forno a microonde senza aggiunta di acqua e di sale] (beta vulgaris, cv. cicla)",,,,0.08,,0.00025,,0.00176,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,100.0,,,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
biscotti con crusca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,,,,,,,,,,5.2,0.81,4.4,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"uova di gallina, intero, cotto a frittata o strapazzato",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,,,,,0.0,,,,,0.0,0.0,0.0,0.41100000000000003,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
bovino semigrassa (bos taurus),0.006,0.0011,0.168,0.014,0.287,5.9999999999999995e-05,,0.0038,3.21,0.0,0.0,0.22,1.66,1.16,0.0,0.0,3.31,0.32,0.22,2.25,0.0,0.24,2.27,1.13,0.2,0.34,0.13,0.13,0.7,7.000000000000001e-05,0.00011,0.0047,,0.0,,100.0,69.0,19.7,0.0,0.0,0.0,10.2,3.21,3.31,2.27,0.0,0.0,0.0,,0.057,0.0,0.0,,,,,,,,,,,,,,,,,,,,,171.00
"merluzzo o nasello, surgelato, filetti (merluccius merluccius)",0.011,0.0003,0.16,0.019,0.31,0.00028000000000000003,0.0165,0.0019,0.11,0.0,0.0,0.01,0.08,0.02,0.0,0.0,0.11,0.0,0.01,0.06,0.02,0.02,0.21,0.0,0.0,0.01,0.03,0.15,1.9,6e-05,5e-05,0.0015,0.0,0.0,,100.0,83.9,15.6,0.0,0.0,0.0,0.6,0.11,0.11,0.21,0.0,0.0,0.0,0.049,0.068,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,68.00
semi di girasole,,,,,,,,,5.2,,,,,,,,9.45,,,,,,32.8,,,,,,,,,,,,,100.0,5.36,22.78,9.0,,,49.57,5.2,9.45,32.8,10.5,,,0.0,0.003,0.0,,,,,,,,,,,,,,,,,,,,,,570.00
"lenticchie secche, cotte [bollite in acqua distillata senza aggiunta di sale e scolate] (lens esculenta)",0.029,0.003,0.146,0.028,0.266,0.0003,0.004,0.0011,,,,,,,,,,,,,,,,,,,,,,0.00012,5e-05,0.0006,,0.0,,100.0,69.7,6.9,16.3,0.7,13.5,0.4,,,,8.3,0.53,7.74,0.0,0.002,0.0,,484.0,178.0,544.0,820.0,270.0,382.0,999.99,272.0,281.0,291.0,69.0,351.0,60.0,318.0,523.0,217.0,359.0,58.0,75,Solf.,92.00
cavolo broccolo verde ramoso crudo (brassica oleracea),0.072,0.0012,0.074,0.029,,5.9999999999999995e-05,,0.00235,,,,,,,,,,,,,,,,,,,,,,8e-05,0.00021,0.0018000000000000002,0.00012299999999999998,0.077,,72.0,89.0,3.4,2.0,2.0,0.0,0.3,,,,3.0,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,24.00
"carote, cotte [bollite in acqua distillata senza aggiunta di sale] (daucus carota)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,,100.0,79.7,2.6,18.3,18.3,0.0,0.5,,,,3.1,1.45,1.64,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,84.00
coppa parma,0.011,0.0019,,0.023,0.433,0.00016,,0.0035,10.98,0.0,0.0,0.46,6.57,3.95,0.0,0.0,15.1,0.0,0.9,13.78,0.42,0.0,4.69,4.05,0.29,0.35,,,0.4,0.00014000000000000001,0.00016,,,0.0,,100.0,36.9,23.6,0.6,0.6,0.0,33.5,10.98,15.1,4.69,0.0,0.0,0.0,0.096,1.524,0.0,0.0,999.99,805.0,999.99,999.99,999.99,938.0,999.99,964.0,999.99,999.99,281.0,999.99,588.0,999.99,999.99,810.0,961.0,274.0,100,Trip.,398.00
latte di soia 4% zuccheri,0.013,0.0004,0.047,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,6e-05,0.00027,0.0001,0.0,0.0,,100.0,89.7,2.9,4.0,4.0,,1.9,,,,,,,0.0,0.032,0.0,,,,,,,,,,,,,,,,,,,,,,48.00
quaglia (coturnix coturnix),0.012,0.0015,0.2,0.025,0.175,0.0005899999999999999,0.0174,0.0027,2.1,,,,,,,,2.0,,,,,,1.7,,,,,,,8e-05,0.00015,0.0075,1.7e-05,0.0,,67.0,65.9,25.0,0.0,0.0,0.0,6.8,2.1,2.0,1.7,0.0,0.0,0.0,0.058,0.04,0.0,0.0,669.9933000000001,552.75,669.9933000000001,669.9933000000001,669.9933000000001,669.9933000000001,669.9933000000001,533.99,669.9933000000001,669.9933000000001,254.60000000000002,669.9933000000001,461.63000000000005,669.9933000000001,669.9933000000001,669.9933000000001,632.48,228.47000000000003,129,leucina,161.00
"latte di vacca pastorizzato, scremato",0.125,0.0001,0.097,0.011,0.15,,,0.0005899999999999999,0.14,0.02,0.03,0.02,0.05,0.02,0.0,0.0,0.05,0.0,0.01,0.04,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.1,4e-05,0.00017,8.999999999999999e-05,,0.001,,100.0,90.5,3.6,5.3,5.3,0.0,0.2,0.14,0.05,0.01,0.0,0.0,0.0,0.002,0.052000000000000005,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,36.00
"riso integrale, cotto  [bollito in acqua distillata senza aggiunta di sale] (oryza sativa)",0.012,0.0005,0.073,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,2e-05,0.0014,0.0,0.0,,100.0,70.3,2.5,25.5,0.4,22.8,0.6,,,,0.8,,,0.0,0.003,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,111.00
agnello cotto [tessuto muscolare privato del grasso visibile] (ovis agnus),0.015,0.0032,0.31,0.022,0.475,0.00020999999999999998,0.019,0.0058200000000000005,,,,,,,,,,,,,,,,,,,,,,0.0001,0.00033,0.0050999999999999995,,0.0,,100.0,42.0,35.6,0.0,0.0,0.0,14.2,,,,0.0,0.0,0.0,0.11,0.16,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,270.00
marsala tipico,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,100.0,57.8,,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,203.00
prosciutto crudo di parma,0.016,0.0007,0.261,0.026,0.373,0.00017,,0.00323,6.15,0.01,0.01,0.21,3.93,1.95,0.03,,8.4,0.0,0.53,7.67,0.19,0.0,1.6,1.58,0.0,0.01,0.0,0.0,0.3,0.00177,0.0002,0.0055,,0.0,,100.0,50.6,25.5,0.0,0.0,0.0,18.4,6.15,8.4,1.6,0.0,0.0,0.0,0.07200000000000001,2.578,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,268.00
semi di zucca secchi,0.052,0.008,1.174,0.55,0.788,0.00128,0.0094,0.00764,8.5,,,,,,,,15.73,,,,,,19.8,,,,,,,,,,,,,70.0,2.0,30.0,15.0,1.5,13.5,49.0,8.5,15.73,19.8,8.4,1.2,7.23,0.0,0.256,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,574.00
sgombro o maccarello fresco (scomber scombrus),0.038,0.0012,0.264,0.021,0.36,0.0007,0.009800000000000001,0.002,2.61,0.0,0.0,0.5,1.76,0.35,0.0,0.0,4.13,0.0,0.59,1.84,0.71,0.99,2.46,0.16,0.15,0.16,0.73,1.26,0.9,0.0001,0.00025,0.0076,4.4999999999999996e-05,0.0004,0.00152,80.0,69.8,17.0,0.5,0.5,0.0,11.1,2.61,4.13,2.46,0.0,0.0,0.0,0.095,0.13,0.0,0.0,799.9920000000001,626.4000000000001,799.9920000000001,799.9920000000001,793.6,626.4000000000001,799.9920000000001,208.8,799.9920000000001,799.9920000000001,0.0,799.9920000000001,376.0,765.6,799.9920000000001,487.20000000000005,584.8000000000001,0.0,0.0,,170.00
finocchi crudi (foeniculum vulgare),0.045,0.0004,0.039,0.016,0.394,0.0001,0.0009,0.00087,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,2e-05,4e-05,0.0005,2e-06,0.012,,59.0,93.2,1.2,1.0,1.0,0.0,,,,,2.2,0.25,1.97,0.0,0.004,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,9.00
pesce gatto (ictalurus melas r.),0.005,0.0037,0.13,,0.38,,,,0.72,0.0,0.0,0.06,0.44,0.15,,,0.84,,0.17,0.59,0.02,8.0,0.86,0.1,0.07,0.14,0.13,0.23,1.1,0.00021,7.000000000000001e-05,0.0019,1.4999999999999999e-05,0.0007,0.0006,60.0,79.8,15.5,0.2,0.2,0.0,3.3,0.72,0.84,0.86,0.0,0.0,0.0,0.058,0.063,0.0,0.0,599.994,289.2,588.0,599.994,430.8,400.8,599.994,347.4,471.59999999999997,594.6,105.6,506.4,291.0,453.0,599.994,331.8,383.4,109.8,100,triptofano,92.00
"carne bovina in gelatina, in scatola (bos taurus)",0.008,0.0012,0.1,0.008,0.074,0.00015,,0.00298,0.65,0.0,0.0,0.03,0.33,0.25,0.0,0.0,0.59,0.0,0.05,0.51,0.01,0.01,0.25,0.11,0.05,0.01,0.04,0.02,0.4,0.00015,0.00017999999999999998,0.0047,,0.0,,100.0,83.2,12.6,0.0,0.0,0.0,1.8,0.65,0.59,0.25,0.0,0.0,0.0,0.029,0.656,0.0,0.0,999.99,389.0,820.0,999.99,563.0,550.0,999.99,573.0,643.0,724.0,149.0,680.0,358.0,589.0,999.99,466.0,562.0,126.0,91,Trip.,67.00
noci pecan con guscio (carya illinoensis),0.061,0.0024,0.3,0.121,0.603,0.001,0.006,0.005,6.0,,,,,,,,25.0,,,,,,22.0,21.0,1.0,,,,3.7,0.00071,0.00015,0.0014,8e-06,0.001,0.004,49.0,5.0,7.2,7.9,4.3,3.3,71.8,6.0,25.0,22.0,9.4,0.36,9.07,0.0,0.0,0.0,,112.7,82.32,434.14,331.24,98.98,171.99,489.9951,165.62,169.04999999999998,154.84,57.33,171.01,65.17,142.1,239.12,113.19,169.04999999999998,50.47,56,Lis.,705.00
"ceci in scatola, scolati (cicer arietinum)",0.043,0.0018,0.072,0.024,0.109,0.0001,0.001,0.00103,0.11,0.0,,2.0,0.09,0.01,,,0.25,,2.0,0.25,,,0.51,0.49,0.01,,,,4.3,5e-05,3e-05,0.0002,3e-06,,,100.0,68.0,6.7,13.9,1.0,11.7,2.3,0.11,0.25,0.51,5.7,0.4,5.3,0.0,0.311,0.0,,443.0,168.0,589.0,769.0,241.0,342.0,999.99,276.0,251.0,283.0,70.0,308.0,69.0,293.0,535.0,201.0,406.0,68.0,83,Solf.,100.00
"tacchino intero, con pelle crudo (meleagris gallopavo)",0.015,0.0014299999999999998,0.178,0.022,0.266,0.0001,0.024399999999999998,0.0022,2.22,0.0,0.0,0.07,1.54,0.55,0.0,0.0,1.66,0.0,0.31,1.32,0.03,0.0,2.96,1.23,0.07,0.31,0.93,0.31,1.3,6e-05,0.00015,0.00408,2e-06,0.0,0.00035,70.0,73.6,18.2,0.0,0.0,0.0,6.9,2.22,1.66,2.96,0.0,0.0,0.0,0.195,0.065,0.0,0.0,699.9929999999999,429.79999999999995,699.9929999999999,699.9929999999999,623.6999999999999,630.6999999999999,699.9929999999999,665.0,699.9929999999999,699.9929999999999,156.79999999999998,699.9929999999999,401.79999999999995,699.9929999999999,699.9929999999999,542.5,559.3,158.2,100,triptofano,135.00
cardi crudi (cynara cardunculus),0.096,0.0002,0.011,0.042,0.293,2e-05,0.0009,0.00017,0.01,0.0,,,9.0,2.0,,,0.01,,0.0,0.01,0.0,,0.04,0.04,,,,,3.7,2e-05,4e-05,0.0002,1.2e-05,0.004,,70.0,94.3,0.6,1.7,1.5,0.2,0.1,0.01,0.01,0.04,1.5,,,0.0,0.023,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,10.00
